,행정동,와이파이 수,실외 와이파이 비율,정보화지수,전체인구,평균소득,와이파이 설치 지수
0,가양1동,220,0.7136363636363636,1.069122808547754,2.9073993312981538e-05,5697.585,50.913846420268925
1,가양2동,47,0.3829787234042553,1.4642025657381814,7.0876745339854e-05,5241.12,57.19416172423893
2,가양3동,48,0.5416666666666666,1.3284169639318273,6.605892456070815e-05,5241.119999999999,52.79679933202427
3,공항동,67,0.835820895522388,1.1388552234539275,3.176317377632373e-05,4350.4766666666665,27.100060019206623
4,등촌1동,46,0.7391304347826086,1.0909132836798168,4.092322802422655e-05,5654.74,40.23693589310271
5,등촌2동,39,0.8974358974358975,1.1198795475689174,4.896440287910689e-05,5654.74,49.60836380347038
6,등촌3동,72,0.5416666666666666,1.3462397278114213,3.2558442404115385e-05,5654.74,46.81014749101915
7,발산1동,32,0.875,1.1298914470086405,2.7343322760581868e-05,5972.693333333333,43.38200207641808
8,방화1동,60,0.7666666666666667,1.1286496838887474,2.3158333526319445e-05,5186.1500000000015,30.702112546826783
9,방화2동,76,0.618421052631579,1.2091801657084882,4.227257355427798e-05,5123.665,39.578040424080356
10,방화3동,41,0.6585365853658537,1.2577544931076603,4.362240446693422e-05,4573.18,33.474470012431254
11,염창동,63,0.6349206349206349,1.074845441049708,2.3944066660281583e-05,5247.045000000001,25.074558373886504
12,우장산동,72,0.7638888888888888,1.100802105311971,2.31862551879246e-05,5000.365,27.909186738764497
13,화곡1동,92,0.8478260869565217,1.1386095698313436,1.8950161076369148e-05,4585.7,27.372025768955492
14,화곡2동,32,0.8125,1.1521102453580903,5.5260831122900086e-05,4585.7,36.944462219875234
15,화곡3동,48,0.8125,1.1475441115368634,4.616592031762153e-05,4585.7,34.301261344302
16,화곡4동,52,0.7692307692307693,1.1736441882804993,4.803073967339097e-05,4585.7,35.573847412630464
17,화곡6동,116,0.41379310344827586,1.1385268967166084,3.984698756773988e-05,4585.7,25.282918241472252
18,화곡8동,55,0.8909090909090909,1.1574390657146316,4.034047359716003e-05,4585.7,35.44317967779006
19,화곡본동,51,0.8235294117647058,1.1450557032243154,2.8891713856465966e-05,4585.7,27.23972668272467
